CUSTOMERSITECODE,COMMODITYSPLITGROUPCODE,COUNTRYREGIONID,COUNTY,CUSTOMEROPERATIONCODE,CUSTOMERSITETYPESYNCCODE,DEEDEDACRES,DESCRIPTION,FARMABLEACRE,LATITUDE,LONGITUDE,MAPPEDACRE,NAME,NOTES,ORDERINGSPLITGROUPCODE,PARTYNUMBER,PLAT,RANGE,RECVERSIONSYNC,SECTION,STATE,TOWNSHIPNAME,TOWNSHIPNUMBER,TYPECODE,WTKURL
STB-000002,SPLT-000013,,,COP000013,LEV-000001,.000000,,.000000,.000000,.000000,.000000,Nelson 1/4,,SPLT-000015,000001043,,,1,,,,,Field,
STB-000004,SPLT-000013,,,COP000013,LEV-000001,.000000,Home 80,.000000,.000000,.000000,.000000,Home 80,,SPLT-000013,000001045,,,1,,,,,Field,
STB-000006,SPLT-000013,,,COP000013,LEV-000001,.000000,Bjork 145,.000000,.000000,.000000,.000000,Bjork 145,,SPLT-000015,000001047,,,1,,,,,Field,
